depth,age,volume,Acersacbud,Fagusbud,Quercusbud,Pinstbud,TSCAneedle,TSCAseed,TSCAtwig,TSCAmicro1,TSCAmicro2,TSCAbudscale,TSCAconescale,TSCAtotal,,
64,2205,23,1,0,0,68,17,3,0,6,20,0,0,46,,
70,2313,20,0,0,0,58,15,4,0,2,5,0,0,26,,
75,2403,25,1,0,0,24,2,0,1,2,3,0,0,8,,
80,2493,25,1,0,0,32,10,1,0,0,0,0,0,11,,
85,2583,25,0,0,0,125,34,6,2,8,5,3,0,58,,
90,2673,25,0,0,0,43,13,1,0,2,4,0,0,20,,
95,2764,23,2,0,0,27,8,1,0,1,16,0,0,26,,
100,2774,25,0,0,0,26,17,0,1,0,1,1,0,20,,
105,2829,27,4,0,0,37,16,3,0,0,1,0,0,20,,
110,2889,25,0,0,0,63,13,3,0,1,0,0,0,17,,
115,2922,30,2,0,0,78,12,0,0,1,5,0,0,18,,
120,3020,25,1,0,0,51,5,0,0,3,1,0,0,9,,
125,3128,30,0,0,0,114,6,0,0,0,6,0,0,12,,
130,3182,25,4,0,0,50,2,0,0,1,0,0,0,3,,
135,3310,25,0,0,0,50,5,0,0,0,0,0,0,5,,
140,3346,22,0,0,0,86,0,0,0,0,0,0,0,0,,
145,3405,25,0,0,0,119,0,0,0,0,0,0,0,0,,
150,3552,24,4,0,0,140,6,0,0,0,0,0,0,6,,
155,3597,20,0,0,1,46,2,0,0,0,0,0,0,2,,
164,3704,20,0,0,0,44,3,1,0,0,0,1,0,6,,
169,3756,25,1,0,0,39,1,0,0,0,3,0,0,4,,
174,3792,25,3,0,0,43,2,0,0,0,0,0,0,2,,
179,3839,25,0,0,2,59,3,1,0,2,26,0,0,32,,
184,3876,30,2,0,1,98,1,0,0,0,0,0,0,1,,
189,3929,30,6,0,1,67,0,0,0,1,0,1,0,2,,
194,3982,30,2,0,0,148,2,0,0,0,0,0,0,2,,
199,4022,30,2,0,0,139,3,0,0,0,0,0,0,3,,
204,4048,30,2,0,0,121,2,0,0,0,0,0,0,2,,
209,4182,30,3,0,0,169,0,0,0,0,0,1,0,1,,
214,4245,30,4,0,0,68,1,0,0,0,0,0,0,1,,
219,4305,20,7,0,0,45,0,1,0,0,0,0,0,1,,
224,4365,25,1,0,0,103,3,0,0,0,0,0,0,3,,
229,4443,25,1,0,0,423,9,0,0,0,0,0,0,9,,
234,4542,25,3,0,1,156,3,0,0,0,0,1,0,4,,
239,4598,25,1,0,2,99,2,0,0,0,0,0,0,2,,
240,4607,20,0,0,0,28,0,0,0,0,0,0,0,0,,
241,4617,20,0,0,0,63,0,0,0,0,0,0,0,0,,
242,4628,20,0,0,0,47,3,0,0,0,0,0,0,3,,
243,4638,20,0,0,0,82,2,0,0,0,0,0,0,2,,
244,4648,25,3,0,1,193,5,1,1,0,0,0,0,7,,
246,4659,20,0,0,0,52,0,0,0,0,0,0,0,0,,
246,4667,20,0,0,0,153,2,0,0,0,0,0,0,2,,
247,4675,20,0,0,0,94,1,0,0,0,0,0,0,1,,
248,4683,20,0,0,0,90,3,0,0,0,0,0,0,3,,
249,4691,22,0,0,0,41,3,0,0,0,1,0,0,4,,
250,4699,25,0,0,0,32,1,0,0,0,0,0,0,1,,
254,4811,20,0,0,0,32,0,0,0,0,0,0,0,0,,
255,4839,22,0,0,0,61,0,0,6,0,0,0,0,6,,
256,4853,22,4,0,1,67,9,0,1,0,0,0,0,10,,
257,4867,20,0,0,0,16,0,0,0,0,0,0,0,0,,
259,4894,25,0,0,0,12,3,0,6,0,0,0,0,9,,
260,4908,22,0,0,0,10,5,0,3,0,1,0,0,9,,
261,4917,21,3,0,0,29,40,7,5,0,1,2,0,55,,
262,4925,22,0,0,0,10,5,0,5,0,0,0,0,10,,
263,4934,20,0,0,0,4,7,0,0,0,0,0,0,7,,
264,4943,26,0,0,0,6,6,0,2,0,0,0,0,8,,
265,4951,30,0,0,0,12,7,0,0,0,1,0,0,8,,
266,4977,29,3,0,0,28,20,14,9,2,8,10,0,63,,
267,5003,27,0,0,0,7,8,0,0,0,1,0,0,9,,
268,5029,20,0,0,0,5,5,0,3,0,0,0,0,8,,
269,5054,25,0,0,0,0,0,0,0,0,0,0,0,0,,
270,5080,30,0,0,0,4,1,0,0,0,1,0,0,2,,
271,5131,30,0,0,0,9,10,2,3,0,0,2,0,17,,
272,5181,25,0,0,0,10,0,0,0,0,0,0,0,0,,
273,5232,25,0,0,0,4,1,0,1,0,0,0,0,2,,
274,5283,25,0,0,0,16,25,0,0,0,0,0,0,25,,
275,5333,26,0,0,0,0,41,0,0,0,0,0,0,41,,
276,5350,32,3,0,0,72,58,14,4,0,8,0,0,84,,
277,5368,23,0,0,0,22,27,0,0,0,0,0,0,27,,
278,5385,24,0,0,0,10,42,0,0,0,0,0,0,42,,
279,5402,26,0,0,0,9,24,0,0,0,0,0,0,24,,
280,5419,23,0,0,0,7,25,0,0,0,0,0,0,25,,
281,5441,26,2,0,0,16,20,3,1,0,0,0,0,24,,
282,5462,22,0,0,0,7,7,0,1,0,0,0,0,8,,
283,5484,22,0,0,0,10,4,0,0,0,0,0,0,4,,
284,5505,20,0,0,0,12,6,,,,,,,6,,
285,5527,21,0,0,0,9,19,,4,,,,,23,,
286,5539,21,0,0,1,27,54,3,2,1,6,3,0,69,,
288,5564,23,0,0,0,7,28,,8,,,,,36,,
289,5577,23,0,0,0,9,24,,6,,,,,30,,
290,5589,27,0,0,0,19,34,,2,,,,,36,,
291,5595,33,0,0,0,53,54,12,4,2,2,0,0,74,,
292,5601,28,0,0,0,18,47,,1,,,,,48,,
293,5607,28,0,0,0,15,39,,4,,,,,43,,
294,5613,27,0,0,0,13,35,,3,,,,,38,,
295,5619,25,0,0,0,13,31,,1,,,,,32,,
296,5658,29,0,0,0,35,44,13,4,2,4,0,0,67,,
297,5697,27,0,0,0,10,27,,3,,,,,30,,
298,5736,28,0,0,0,14,21,,1,,,,,22,,
299,5775,29,0,0,0,19,17,,,,,,,17,,
300,5814,30,0,0,0,27,21,,,,,,,21,,
301,5819,28,0,0,0,77,26,6,0,0,1,1,0,34,,
302,5825,28,0,0,0,43,7,,2,,,,,9,,
303,5831,27,0,0,0,36,9,,2,,,,,11,,
304,5836,28,0,0,0,35,15,,,,,,,15,,
305,5842,28,0,0,0,70,16,,2,,,,,18,,
306,5861,28,0,0,0,120,21,9,0,3,6,0,0,39,,
307,5880,27,0,0,0,109,12,,1,,,,,13,,
308,5899,28,0,0,0,111,15,,1,,,,,16,,
309,5917,32,0,0,0,147,15,,1,,,,,16,,
310,5936,29,0,0,0,167,12,,,,,,,12,,
311,5951,34,0,0,2,512,24,10,0,1,1,0,0,36,,
312,5966,27,0,0,0,385,7,,,,,,,7,,
314,5996,30,0,0,0,377,5,,,,,,,5,,
315,6011,27,0,0,0,257,5,,3,,,,,8,,
316,6031,24,0,0,0,278,4,1,0,0,0,0,0,5,,
321,6120,28,0,0,1,210,0,0,0,0,0,0,0,0,,
326,6159,27,0,0,0,144,0,0,0,0,0,0,0,0,,
331,6224,30,1,0,0,227,1,0,0,0,0,0,0,1,,
336,6352,31,0,0,0,198,5,0,0,0,0,0,0,5,,
341,6492,27,0,0,1,277,0,0,0,0,0,0,0,0,,
346,6565,24,0,0,0,159,0,0,0,0,1,0,0,1,,
355,6643,29,0,0,3,285,0,0,0,0,0,0,0,0,,
360,6701,29,0,0,1,215,0,0,0,0,0,0,0,0,,
365,6884,29,0,0,0,244,0,0,0,0,0,0,0,0,,
370,7078,30,0,0,0,367,0,0,0,0,0,0,0,0,,
375,7243,26,0,0,0,266,0,0,0,0,0,0,0,0,,
380,7351,32,0,0,0,219,0,0,0,0,0,0,0,0,,
385,7422,33,0,0,0,216,0,1,0,0,0,0,0,1,,
390,7534,28,0,0,0,108,1,0,0,0,0,0,0,1,,
395,7682,30,0,0,0,67,0,0,0,0,0,0,0,0,,
400,7730,30,0,0,0,96,0,0,0,0,0,0,0,0,,
405,7833,34,0,0,0,204,0,0,0,0,0,0,0,0,,
410,7945,40,0,0,0,61,0,0,0,0,0,0,0,0,,
415,8141,32,0,0,0,20,0,0,0,0,0,0,0,0,,
420,8233,39,0,0,0,2,0,0,0,0,0,0,0,0,,
425,8282,27,0,0,0,1,0,0,0,0,0,0,0,0,,
430,8314,42,0,0,0,0,0,0,0,0,0,0,0,0,,
435,8454,26,0,0,0,0,0,0,0,0,0,0,0,0,,
440,8486,44,0,0,0,0,0,0,0,0,0,0,0,0,,
445,8516,39,0,0,0,1,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
