Drive,age (cal yr bp),drive depth (cm),absolute depth (cm),Volume (ml),Abies needles,Abies seeds,Acersac budscales,Quercusrubra budscales,Acersac seeds,Betulaalleghanensis bract,Betulapapyrifera bract,Betulapapyrifera fruit,Betulaspp bract,Betulaspp fruit,Fagus leaves,Fagus seeds,Fagusgrandifolia budscale,Larix needles,Larix seed,Picea needle,Picea woodyfragment,Pinusbanksiana needles,Pinusstrobus budscales,Pinusstrobus needles,Pinusstrobus seed,Thuja fragments,Thuja leaves,Thuja seed,Tsuga conescales,Tsuga needles,Tsuga seeds,Tsuga total,AlnusBetulaspp seeds,AlnusBetulaspp seedcoat,Andromeda seeds,AndromedaKalmia leaves,Carex trigonousachenes,Polygonumspp seeds,Salix leaves,Sphagnum leaves,Viola seed,caddisfly tube,eleocharis-like sedge seed,large cone scale,unknown bud scales,unknown leaf,unknown sedge #2,unknown type 2 bud scales,unknown seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-49.34305015,,0,,0,0,0,0,0,0.538461,0,0,0,0,0,0,0,0,0,0,0,0,1.615383,1.076922,0,0,0,0,0,0,0.538461,0.538461,0,0,0,0,0,0,0,0,0,0,0,0,1.615383,0,0,1.076922,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,259.6500902,,18,,0,0,0,0,0,0.538461,0,0,0,0,0,0,1.076922,0,0,0,0,0,0.538461,0,0,0,0,0,0,1.076922,0,1.076922,0,0,0,0,0,0,0,0,0,0,0,0,0.538461,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,550.7268116,,35,,0,0,0,0,0,2.692305,0,0,0,0,0,0,0,8.076915,0,0.538461,0,0,43.07688,18.307674,0,0,0,0,0,2.692305,0,2.692305,0,0,0,0,0,0,0,0,0,0,0,0,26.384589,0,0,2.692305,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,823.3925218,,51,,0,0,0,0,0,0.538461,0,0,0,0,0,0,0,1.615383,0,0.538461,0,0,6.999993,1.076922,0,0,0,0,0,1.615383,0,1.615383,0,0,0,0,0,0,0,5.923071,0,1.615383,0,0,2.692305,0.538461,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1146.113993,,70,,0,0,1,0,0,0,0,0,0,0,0,0,1.076922,0,0,0,0,0,5.38461,1.615383,0,0,0,0,0,3.230766,0,3.230766,0,0,0,0,0,0,0,0,0,0,0,0,4.307688,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1200.013577,,72,,0,0,0,0,0,5.38461,0,0,0,0,0,0,3.230766,0.538461,0,0,0,0,0,5.923071,0,0,0,0,0.538461,19.923057,0,20.461518,0,0,0,0,0,0,0,0,0,0,0,0,40.923036,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1339.590369,,77,,0,0,5,0,1.076922,13.461525,0,0,0,0,0.538461,0,4.307688,0.538461,0,0.538461,0,0,65.153781,7.538454,0,0,0,0,0.538461,18.307674,1.615383,20.461518,0,0,0,1.076922,0,0,0.538461,0,0,0,0,0,26.384589,0,0,4.307688,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1397.423052,,79,,0,0,0,0,0,1.076922,0,0,0,0,0,0,1.076922,0.538461,0,0,0,0,25.307667,3.769227,0,0,0,0,0,9.692298,1.076922,10.76922,0,0,0,0,0,0,0,0,0,0,0,0,10.76922,0,0,1.615383,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1455.818494,,81,,0,0,1,0,0,3.769227,0,0,0,0,0,0,0.538461,0,0,0,0,0,20.461518,3.230766,0,0,0,0,0,13.461525,0.538461,13.999986,0,0,0,0,0,0,0,0,0,0,0,0,20.999979,0,0,0.538461,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1515.640772,,83,,0,0,1,0,0,1.076922,0,0,0,0,0,0,1.076922,0,0,0,0,0,12.923064,13.999986,0,0,0,0,0,5.38461,0,5.38461,0,0,0,0,0,0,0,0,0,0,0,0,12.384603,0,0,0.538461,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1663.086568,,88,,0,0,3,0,0.538461,5.38461,0,0,0,0,0,0.538461,2.692305,3.230766,0,0,0,0,35.538426,11.307681,0,0,0,0,0,12.923064,0,12.923064,0,0,0,0,0,0,0,0,0,0,0,0,18.307674,0,0,1.615383,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1782.27822,,92,,0,0,7,0,2.153844,20.461518,0,0,0,0,0.538461,0,3.769227,2.153844,0,0,0,0,41.999958,9.692298,0,0,0,0,0,18.846135,0.538461,19.384596,0,0,0,0,0,0,0,0,0,0.538461,0,0,11.307681,0,0,3.230766,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,369.0784406,5,68,,0,0,2,0,0,4.307688,0,0,0,0,0,0,0,3.230766,0,0,0,0,74.307618,0,0,0,0,0,0,20.461518,0,20.461518,0,0,0,0,0,0,0,0,0,0,0,0,27.999972,0,0,3.230766,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,575.1905019,12,75,,0,0,2,0,0,4.142007692,0,0,0,0,0,1.035501923,4.142007692,0,0,0,0,0,83.87565577,0,0,0,0,0,0,28.99405385,1.035501923,30.02955577,0,0,0,0,0,0,0,0,0,0,0,0,42.45557885,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,896.9264369,22,85,,0,0,4,0,0,9.254798438,0,0,0,0,0,0,0,1.682690625,0,0,0,0,42.06726563,2.524035938,0.841345313,0,0,0,0,21.03363281,0,21.03363281,0,0,0,0,0,0,0,0,0,0,0,0,19.35094219,0,0,4.206726563,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1235.862433,32,95,,0,0,5,1,0,13.07691,0,0,0,0,0.76923,0,13.07691,19.23075,0.76923,0,0,0,159.99984,18.46152,2.30769,0,0,3.84615,1.53846,23.0769,0.76923,25.38459,0,0,0,0,0,0,0,0,0,0,0,0,64.61532,0,0,6.15384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1564.910842,42,105,,0,0,5,0,0.717948,10.76922,0,0,0,0,0.717948,0,2.871792,0,0,0.717948,0,0,34.461504,0,0,0,0,0,0,27.282024,0,27.282024,0,0,0,0,0,0,0,0,0,0,0,0,17.9487,0,0,7.17948,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1915.169686,52,115,,0,0,1,0,0.76923,29.99997,0,0,0,0,0,0,0,2.30769,0,0,0,0,48.46149,0.76923,0,0,0,0,0,20.76921,0,20.76921,0,0,0,0,0,0,0,0,0,0,0,0,20.76921,0,0,0.76923,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2257.25891,62,125,,0,0,5,0,0,19.384596,0,0,0,0,0,0,0,0.717948,0.717948,0,0,0,27.282024,3.58974,0,0,0,0,0,28.71792,0,28.71792,0,0,0,0,0,0,0,0,0,0,0,0,5.743584,0,0,2.153844,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2597.258163,72,135,,0,0,2,0,0,21.6880125,0,0,4.487175,0,0,0,0,20.94015,0,0,0.7478625,0,31.410225,1.495725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76923,11.9658,0,0,1.495725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
