Depth_in_Drive,Core_Length,Abs_depth_cm,Age_clam,Volume,Abies_ whole,Abies_tip,Abies_mid,Abies_base,Abies_needles_total,Abies_Microstrobili,Abies_Microsporangia,Abies_Conescale,Abies_Conebract,Abies_seed,Abies total macro,Acerub_seed,Acerub_bud,Acerrub_total,Acersac_Seed,Acersac_samara,Acersac_bud,Acersac_total,Asteraceae,Betsp_seed,Betsp_bract,Betal_fruit,Betal_bract,Betal_fruitsandbracts,Betal_bud,Betpap_fruit,Betpap_bract,Betpap_fruitsandbracts,Betpap_bud,Unknownconiferbudscale,Unknownconiferbud,Cyperaceae_fruit,Unknowndeciduousbudscale,Dulichium_fruit,Fagus_bud,Fagus_lf,Quercus_bud,Najas,Nuphar,Pop_bud,Pinst_needtip,Pinst_needlemid,Pinst_needlebase,Pist_nedwh,pinst_needleraw,Pist needle total (STD50),Pinst_Budraw,Pins_tbudSTD50,Pinst_seed,Pinst_Microstrobili,Pinst_Microsporangia,Pinst_Seedwing,Pinst_Shortshootnoneedles,Pinst_Shortshootwithneedles,Pinst_Twig,Pinst_macrototal,Pinres_netip,Pinres_nemid,Pinres_nebase,PinRes_needles,Pinres_Shortshootnoneedles,Pinres_Shortshootwithneedles,Pinres_Microstrobili,Pinres_Microsporangia,Pinres_twig,Pinres_bud,Pinres_macrototal,Pinbank_mid,Pinbank_Sparangia,Pinbank_needles,Pic_needwhole,Pic_needtip,Pic_needmid,Pic_needbase,Pic_needletotal,Pic_needtwig,Pic_needbudscale,Picea_macrototal,Lar_needtip,Lar_needmid,Lar_needbase,Larix_needletotal,Tsuga_nedwhole,Tsuga_nedtip,Tsuga_needmid,Tsuga_needmbase,Tsuga_needletotal,TSCA_NEEDLETotalSTD50,Tsuga_seed,Tsuga_twig,Tsuga_Microstobili,Tsuga_Microsporangia,Tsuga_bud,Tsuga_Conescale,Tsuga_Seedwing,Tsuga_macrototal,TCTOTSTD,Taxus,Macrofossil sample,Core depth
4,4,64,2205,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.173913043,2.173913043,0,13.04347826,0,34.7826087,4.347826087,39.13043478,0,0,0,0,0,321.7391304,0,0,0,0,0,0,0,0,0,0,4.347826087,156.5217391,0,0,,4.35,,147.826087,0,0,6.52173913,0,0,0,0,156.5217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2173913,6.52173913,0,21.73913043,37,37,6.52173913,0,13.04347826,43.47826087,0,0,0,137,100,0,1,4
10,10,70,2313,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,2.5,32.5,2.5,0,,2.5,,145,0,0,5,0,2.5,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,32.5,38,38,10,0,5,12.5,0,0,0,103,65,0,1,10
15,15,75,2403,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083333333,2.083333333,0,2.083333333,0,0,2.083333333,2.083333333,0,0,0,0,0,93.75,0,0,2.083333333,0,0,0,0,0,0,0,0,25,2.083333333,0,,2.083333333,,47.91666667,0,0,6.25,0,0,0,0,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083333333,0,0,2.083333333,4,4,0,2.083333333,4.166666667,6.25,0,0,0,21,17,0,1,15
20,20,80,2493,25,0,2,4,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,8,0,8,0,0,0,0,0,152,0,0,0,0,0,0,0,2,0,0,6,108,2,0,,6,,64,0,0,2,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,12,20,20,2,0,0,0,0,0,0,42,22,0,1,20
25,25,85,2583,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,6,28,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,8,118,0,0,,8,,250,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,16,6,34,68,68,12,4,16,10,6,0,0,184,116,0,1,25
30,30,90,2673,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,4,0,10,0,10,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,86,0,0,,2,,86,0,0,6,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,16,26,26,2,0,4,8,0,0,0,66,40,0,1,30
35,35,95,2764,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.347826087,4.347826087,0,4.347826087,0,21.73913043,0,21.73913043,0,0,0,0,0,39.13043478,0,0,0,0,0,0,0,0,0,0,2.173913043,173.9130435,2.173913043,0,,2.173913043,,58.69565217,0,0,4.347826087,0,0,0,0,65.2173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52173913,10.86956522,2.173913043,8.695652174,17,17,2.173913043,0,2.173913043,34.7826087,0,0,0,74,56,0,1,35
40,40,100,2774,25,2,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,18,4,22,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,70,6,0,,6,,52,0,2,108,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,24,34,34,0,2,0,2,2,0,0,74,40,0,1,40
45,45,105,2829,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407407407,7.407407407,0,9.259259259,0,31.48148148,0,31.48148148,0,0,0,0,0,103.7037037,0,0,0,0,0,0,0,0,0,0,0,90.74074074,1.851851852,0,,1.851851852,,68.51851852,0,0,87.03703704,1.851851852,0,0,0,159.2592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.51851852,11.11111111,1.851851852,11.11111111,30,30,5.555555556,0,0,1.851851852,0,0,0,67,37,0,1,45
50,50,110,2889,25,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,2,22,0,0,0,0,0,176,0,0,0,2,0,0,0,0,0,0,2,86,2,0,,2,,126,0,0,2,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,4,14,26,26,6,0,2,0,0,0,0,60,32,0,1,50
