Drive depth,Absolute Depth,Calendar,Volume,MacCharcoal,Moss,Abies wholeneedle,Abies tip,Abies mid,Abies base,Abies NeedleTotal,Acerub bud,Betspp twig,Betspp seed,Betspp bract,BetulaSpp Total,BetulaAl fruit,BetulaAl bract,BetulaAl total,BetulaPap seed,BetulaPap bract,Betulapap totalmacros,Unknown conifer budscale,Unknown conifer bud,Unknown deciduous budscale,Dulichium fruit,Cyperaceae seed,Fagus bud,Pinst bud,Pinst tip,Pinst mid,Pinst base,Pinst wholeneedle,Pinst needletotal,Pinst Shortshootnoneedles,Pinst Shortshootwithneedles,Pinst Microstrobili,Pinst Microsporangia,Pinst seed,Pinst seedwing,Pinst totalmacros,Pinres bud,Pinres tip,Pinres mid,Pinres base,Pinres needles,Pinres shortshootnoneedles,Pinres Shortshootwithneedles,Pinres Microstrobili,Pinres Microsporangia,Pinres seed,Pinres totalmacros,Pin2 tip,Pin2 mid,Pin2 shortshootnoneedles,Pin2 shortshootwithneedles,Pin2 needletotal,Pin2 Wholeneedles,Tsuga nedtip,Tsuga nedmid,Tsuga nedbase,Tsuga needles,Tsuga Microstrobili,Tsuga Microsporangia,Tsuga seed,Tsuga twig,Tsuga bud,Tsuga totalmacrofossils,Macrofossil sample
C1  5,5,149,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,10,365,16,,0,0,0,0,0,0,0,0,0,3.125,3.125,3.125,0,3.125,0,0,0,62.5,0,0,0,0,0,0,0,21.875,0,1,0,0,0,0,3.125,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,3.125,0,3.125,0,0,0,6.25,1
15,15,578,12,,0,0,4.166666667,0,0,4.17,0,0,25,0,25,8.333333333,0,8.333333333,0,0,0,304.1666667,0,0,0,0,0,37.5,16.66666667,108.3333333,0,16,0,0,0,0,12.5,4.166666667,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,0,4.166666667,8.32,4.166666667,4.166666667,0,0,0,12.5,1
20,20,755,14,,0,0,3.571428571,0,0,3.6,0,0,0,3.571428571,3.571428571,0,0,0,0,0,0,207.1428571,0,0,0,0,0,10.71428571,0,75,0,1,0,0,0,0,14.28571429,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571428571,3.571428571,0,7.142857143,10.71443,0,3.571428571,0,0,0,7.142857143,1
25,25,908,15,,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,3.333333333,0,0,0,143.3333333,0,0,0,0,0,0,0,36.66666667,10,10,0,0,0,0,6.666666667,0,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,13.33333333,0,0,3.333333333,0,0,6.666666667,1
30,30,1059,19,,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,650,10,0,0,0,0,0,0,120,0,1,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,10,0,10,0,0,30,1
35,35,1210,29,,0,0,1.724137931,0,0,1.7,1.724137931,0,0,0,0,1.724137931,0,1.724137931,0,0,0,175.862069,0,0,0,0,0,13.79310345,3.448275862,65.51724138,3.448275862,3.448,5.172413793,0,5.172413793,0,3.448275862,0,0,13.79310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.172413793,0,0,1.724137931,6.896552,0,1.724137931,3.448275862,0,0,10.34482759,1
40,40,1356,19,,0,0,5.263157895,2.631578947,0,5.3,0,0,2.631578947,0,2.631578947,2.631578947,0,2.631578947,0,0,0,284.2105263,2.631578947,0,0,0,0,18.42105263,5.263157895,134.2105263,0,5.26,0,0,2.631578947,0,2.631578947,0,0,5.263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.631578947,5.263157895,2.631578947,2.631578947,7.89,0,5.263157895,2.631578947,2.631578947,0,15.78947368,1
C5 D1 65,31,16.00,12,,0,4.166666667,0,4.166666667,0,4.17,0,0,0,0,0,4.166666667,0,4.166666667,0,0,0,83.33333333,0,0,0,0,0,12.5,0,25,0,1,0,0,4.166666667,0,20.83333333,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,0,0,4.166666667,0,0,0,0,4.166666667,8.333333333,1
C5 D1 70,36,156.69,11.00,,0,0,0,4.545454545,0,1,0,0,0,0,0,0,0,0,0,0,0,54.54545455,0,0,0,0,0,0,0,9.090909091,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,0,0,4.545454545,0,0,4.545454545,0,0,9.090909091,1
C5 D1 75,41,301.75,20,1,0,0,5,2.5,5,5,5,0,5,0,5,22.5,2.5,25,0,0,0,165,0,0,0,7.5,0,72.5,5,90,0,5,0,5,0,5,15,0,2.5,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,0,7.5,10,2.5,7.5,2.5,2.5,2.5,25,1
C5 D1 80,46,443.22,12,,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,4.166666667,0,0,0,329.1666667,0,0,0,4.166666667,0,66.66666667,8.333333333,54.16666667,0,8.333,0,4.166666667,0,4.166666667,4.166666667,4.166666667,8.333333333,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,20.83333333,20.83,4.166666667,4.166666667,0,0,0,12.5,1
C5 D1 85,51,572.24,11.00,,0,4.545454545,4.545454545,4.545454545,0,9,0,0,0,0,0,4.545454545,0,4.545454545,0,0,0,572.7272727,0,4.545454545,0,0,9.090909091,54.54545455,0,168.1818182,0,1,0,0,0,0,4.545454545,0,0,4.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,9.090909091,1
C5 D1 90,56,702.55,11.00,,0,0,0,0,4.545454545,4.5,0,0,0,0,0,4.545454545,0,4.545454545,0,0,0,500,0,0,0,0,0,31.81818182,9.090909091,104.5454545,0,9,0,9.090909091,9.090909091,0,4.545454545,0,0,22.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,4.545454545,0,0,0,0,0,4.545454545,1
C5 D1 95,61,835.57,8.00,,1,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,243.75,0,0,0,6.25,0,68.75,0,112.5,0,1,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C5 D2 5,71,1113.37,34.00,,3,0,0,0,0,0,0,0,0,0,0,1.470588235,0,1.470588235,0,0,0,169.1176471,0,0,0,0,0,52.94117647,5.882352941,64.70588235,4.411764706,5.88,4.411764706,0,1.470588235,0,1.470588235,0,2.941176471,10.29411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941176471,2.94,0,0,1.470588235,0,0,2.941176471,1
10,76,1214.45,20.00,,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5,0,0,0,130,0,0,0,0,0,5,2.5,80,5,5,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2.5,1
15,81,1307.97,30.00,,0,0,1.666666667,0,0,1.67,1.666666667,0,5,0,5,5,0,5,0,0,0,108.3333333,0,0,1.666666667,1.666666667,0,30,0,30,0,1,0,0,1.666666667,0,10,0,0,11.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,1.666666667,3.34,0,1.666666667,1.666666667,0,0,5,1
20,86,1406.73,30.00,,0,0,0,1.666666667,0,1,0,0,1.666666667,0,1.666666667,0,0,0,0,0,0,21.66666667,0,0,0,0,0,1.666666667,0,18.33333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,1.666666667,1
25,91,1505.59,32.00,,2,0,0,0,0,0,0,0,3.125,0,3.125,1.5625,0,1.5625,0,0,0,84.375,0,0,0,0,0,12.5,6.25,59.375,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,3.125,0,1.5625,0,0,0,3.125,1
30,96,1599.59,20.00,,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,0,132.5,0,0,0,0,0,2.5,7.5,37.5,2.5,7.5,2.5,2.5,0,0,2.5,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5,2.5,0,0,0,0,0,2.5,1
35,101,1698.09,30.00,,0,0,1.666666667,0,0,1.67,0,0,3.333333333,0,3.333333333,1.666666667,0,1.666666667,0,0,0,410,3.333333333,0,0,1.666666667,3.333333333,51.66666667,3.333333333,116.6666667,1.666666667,3.33,1.666666667,3.333333333,10,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,1.666666667,1.666666667,0,0,0,0,3.333333333,1
40,106,1810.92,24.00,,0,0,0,0,0,,0,0,0,0,0,2.083333333,0,2.083333333,0,0,0,102.0833333,0,0,0,0,0,4.166666667,0,39.58333333,0,1,0,2.083333333,0,0,4.166666667,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.58333333,4.166666667,4.167,0,0,0,0,0,2.083333333,1
45,111,1923.28,30.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1.666666667,0,1.6667,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,1.666666667,1.666666667,0,0,0,0,0,1.666666667,1
50,116,2032.10,30.00,1,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,1.666666667,0,0,0,36.66666667,0,0,0,0,0,0,1.666666667,10,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,121,2144.11,27.00,1,0,0,0,0,1.851851852,1.85,0,0,0,0,0,0,0,0,0,0,0,87.03703704,0,0,0,0,0,0,7.407407407,59.25925926,0,7.4,0,0,0,0,1.851851852,0,0,1.851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851851852,1.851851852,0,0,1.851851852,0,0,3.703703704,1
60,126,2258.21,20.00,,0,0,0,2.5,0,1,0,0,2.5,0,2.5,0,0,0,0,0,0,157.5,2.5,0,0,5,2.5,2.5,0,52.5,0,1,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,131,2373.30,20.00,,0,0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,10,2.5,57.5,0,2.5,0,5,7.5,0,2.5,2.5,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,1,0,0,0,0,0,2.5,1
70,136,2483.09,20.00,1,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,205,0,0,0,5,0,5,0,32.5,0,1,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,2.5,1
75,141,2594.61,30.00,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.66666667,0,0,0,0,0,6.666666667,0,15,0,1,0,1.666666667,0,0,1.666666667,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,146,2706.80,30.00,,0,0,0,0,0,0,0,0,1.666666667,0,1.666666667,0,0,0,0,0,0,190,0,0,0,0,3.333333333,16.66666667,3.333333333,55,1.666666667,3.33,1.666666667,1.666666667,0,0,3.333333333,0,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,151,2818.55,30.00,,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,1.666666667,0,0,0,95,1.666666667,0,0,0,0,3.333333333,0,20,0,1,0,0,0,0,6.666666667,0,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,156,2956.18,22.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.9090909,2.272727273,2.272727273,0,0,0,6.818181818,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272727273,0,2.272727273,1
95,161,3107.25,23.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.60869565,0,0,0,2.173913043,0,0,0,4.347826087,2.173913043,2.17,0,2.173913043,0,0,0,0,0,2.173913043,0,0,6.52173913,0,2.1739,0,0,0,0,0,2.1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C5 D3 5,171,3395.38,25.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,6,0,8,2,10,0,2,0,2,0,0,2,0,0,4,0,2,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,176,3550.35,23.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.47826087,0,0,0,0,0,2.173913043,0,4.347826087,0,1,0,0,0,2.173913043,0,0,0,2.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,181,3700.78,26.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8461538,0,0,0,0,0,0,0,19.23076923,0,1,0,1.923076923,0,0,3.846153846,1.923076923,0,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,186,3853.70,30.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33333333,0,0,0,0,0,1.666666667,0,8.333333333,0,1,0,3.333333333,0,0,0,0,0,3.333333333,1.666666667,0,1.666666667,0,3.333,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,191,4002.69,32.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.375,0,0,0,0,0,0,0,4.6875,0,1,0,1.5625,0,0,1.5625,1.5625,0,4.6875,0,1.5625,0,0,1.5625,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
